,Title,Year,Director,Production,Studio,Genre,Award
9050,City of Hope,1991,Sayles,PN:,SU:,Drama,aw
9051,Passion Fish,1992,Sayles,PN:,SU:,Drama,aw
9052,Middle-age Crazy,1980,John Trent,PN:Sid Kroft,Tormont,|,
9053,Die Laughing,1980,J.Werner,PN:,SL:US,Advt,H
9054,Tm:The Exterminator,1980,Glickenhaus,PN:Mark Buntzman,SU:,Viol,RE-
9055,Tm:The Soldier,1982,Glickenhaus,PU:,SU:,Actn,CG**
9056,The Protector,1990,Glickenhaus,PN:David Chan,S:Golden,Actn,
9057,Airplane!,1980,J.Abrahams,Koch,Paramount,"Comedy, Disa","F01,H**"
9058,Hero,1984,J.Abrahams,"David Zucker, Jerry Zucker, J.Abrahams","Pinewwod, Paramount",Comedy,Z93
9059,The Kidnapping of Mrs. Stone,1986,J.Abrahams,PU:,SU:,Comedy,
9060,When Twins are Interchanged,1988,J.Abrahams,,SU:,Comedy,
9061,The Naked Gun,1988,J.Abrahams,,Paramount,Comedy,F75
9062,The Adventures of Ford Fairlane,1989,J.Abrahams,PU:,SU:,Ctxx,
9063,Hot Shots!,1991,J.Abrahams,,SU:,"Actn, Comedy",
9064,Hot Shots! Part Deux,1993,J.Abrahams,,SU:,"Actn, Comedy",
9065,The Competition,1980,Oliansky,PN:,SU:,Drama,aw
9066,The Incredible Shrinking Woman,1980,Schumacher,PN:Hank Moonjean,Universal,ScFi,H
9067,Tm:D.C. Cab,1984,Schumacher,"PN:Guber, Peters",Universal,Actn,(H)
9068,Cousins,1989,Schumacher,PN:,SU:,Ctxx,aw
9069,Flatliners,1990,Schumacher,PN:Harper,Columbia,Drama,aw
9070,Dying Young,1991,Schumacher,PN:,Fox,Drama,aw
9071,The Client,1993,Schumacher,PN:,SU:,Actn,aw
9072,Falling Down,1993,Schumacher,PN:,SU:,Actn,aw
9073,Batman Forever,1995,Schumacher,PN:,Warners,Fant,
9074,Batman & Robin,1997,Schumacher,Peter McGregorSmith,S:Warners,Fant,"NYC, NY"
9075,Tm:Borderline,1980,Freedman,PN:Martin Stanger,ITC,Advt,H
9076,Hide in Plain Sight,1980,Caan,"PN:Robert Christiansen, Rick Rosenberg",MGM,Drama,H
9077,Tm:Seems Like Old Times,1980,J.Sandrich,PN:,SU:,CTxx,aw
9078,Battle Beyond the Stars,1980,Murakami,"PN:Corman, Ed Carlin",New World,ScFi,H*
9079,Tokyo Decadence,1980,Murakami,PN:,SU:,Porn,
9080,The Great Rock and Roll Swindle,1980,Temple,PN:,SU:,Musical,
9081,Earth Girls Are Easy,1989,Temple,PN:Tony Garnett,Vestron,|,
9082,Tm:The Mango Tree,1980,Dobson,PN:,SU:,Ctxx,aw
9083,Tm:Eyes of a Stranger,1980,Wiederhorn,PN:,SU:,"Porn, Horror",CG0
9084,Tm:Stuckey's Last Stand,1980,Goldfarb,PN:,SU:,CTxx,aw
9085,Tm:Terraces,1980,Garrett,PN:,SU:,CTxx,aw
9086,"Tm:Hey, I'm Alive",1980,Schiller,PN:,SU:,CTxx,aw
9087,The Oak,1991,Pintilie,PN:,SU:,Fant,aw
9088,Flash Gordon,1980,Hodges,deLaurentiis,Universal SL:\GB,ScFi,aw
9089,Tm:Hero at Large,1980,M.Davidson,PN:Stephen Freedman,MGM,Drama,H
9090,Simon,1980,M.Brickman,"PN:Louis A. Stroller, M.Bergman","Warners,Orion",ScFi,H*
9091,Lovesick,1983,M.Brickman,PU:,SU:,CTxx,aw
9092,The Manhattan Project,1985,M.Brickman,PN:Ferren,S:Fox,"Suspense, Romantic",aw
9093,The Legend of Walks Far Woman,1980,Damski,PN:Gimbel,Welch,West,
9094,Tm:Yellowbeard,1983,Damski,PN:Carter deHaven~jr,Orion,,H
9095,Paper Wedding,1989,Brault,PN:,SU:,Ctxx,aw
9096,Tm:The Awakening,1980,Newell,PN:,SU:,CTxx,aw
9097,Dance with a Stranger,1982,Newell,PN:,SU:,Noir,aw
9098,The Good Father,1985,Newell,PN:,SU:,CTxx,aw
9099,Wild Women,1990,Newell,PN:,SU:,Romantic,aw
9100,Enchanted April,1992,Newell,PN:,SU:,Romantic,aw
9101,Into the West,1993,Newell,"PN:Jonathan Cavendish, Tim Palmer",Miramax,Romantic,aw
9102,Siesta,1994,Newell,PN:,SU:,Ctxx,aw
9103,Four Weddings and a Funeral,1994,Newell,PN:Duncan Kenworthy,"Channel 4 films, Polygram",Romantic,aw
9104,Donnie Brasco,1997,Newell,PU:,SU:,Drama,aw
9105,Tm:Union City,1980,Reichert,PN:,SU:,CTxx,aw
9106,America and Lewis Hine,1986,Rosenbloom,PN:,SU:,Documentary,aw
9107,Through the Wire,1980,Rosenbloom,PN:,SU:,Documentary,aw
9108,"Pepi, Luci, Bom",1980,Almodovar,PN:,SU:,Porn,
9109,Dark Passion,1981,Almodovar,PN:,SU:,,
9110,Labyrinth of Passion,1982,Almodovar,PN:,SU:,,
9111,Matador,1985,Almodovar,PN:,SU:,Comedy,
9112,Matador,1985,Almodovar,PN:,SU:,Comedy,
9113,Law of Desire,1986,Almodovar,PN:,SU:,Ctxx,aw
9114,What Have I Done to Deserve This?,1987,Almodovar,PN:,SU:,"Comedy, Drama",aw
9115,Women on the Verge of A Nervous Breakdown,1988,Almodovar,PN:,Spain,Comedy,
9116,"Tie Me Up, Tie Me Down",1990,Almodovar,PN:,Miramax,Comedy,
9117,High Heels,1991,Almodovar,PN:Augustin Almodovar,Miramax,Comedy,
9118,Kika,1994,Almodovar,PN:,SU:,Comedy,
9119,La flor de mi Secreto,1996,Almodovar,PU:,SU:,Comedy,aw
9120,Carne Tremula,1998,Almodovar,PU:,SU:,"Romantic, Drama",
9121,All About My Mother,1999,Almodovar,PU:,SU:,Drama,GP Dir
9122,Fiendish Plot of Fu Manchu,1980,Haggard,PN:Hugh Heffner,"Warners, Orion, Playby",Comedy,H
9123,Venom,1981,Haggard,Bregman,Aribage,Drama,H
9124,Hugh Heffner: Once Upon A Time,1992,Haggard,PN:,SU:,"Bio-Pic,Documentary",
9125,Tm:Prom Night,1980,P.Lynch,PN:,SL:Canada,Horror,CG**
9126,Tm:Cross Country,1983,P.Lynch,PN:,"Filmline, SL:Canada",Suspense,(H)
9127,Tm:Touch and Go,1980,P.Maxwell,PN:,SU:,CTxx,aw
9128,Tm:Take It To The Limit,1980,Starr,PN:,SU:,CTxx,aw
9129,Tm:Massacre at Central High,1980,Daalder,PN:,SU:,Ctxx,aw
9130,Tm:Greaser's Palace,1980,Downey,PN:,SU:,Ctxx,aw
9131,Too Much Sun,1990,Downey,PN:,SU:,Ctxx,aw
9132,Little Darlings,1980,R.Maxwell,PN:Stephen Friedman,Paramount,Comedy,H
9133,Night the Lights Went Out in Georgia,1981,R.Maxwell,PN:,SU:,Musical,CG**
9134,Gettysburg,1993,R.Maxwell,PN:R.Maxwell,Turner,Historic,
9135,Xanadu,1980,R.Greenwald,PN:Lawrence Gordon,S:Universal,"Fant, Musical",H
9136,Forgotten Prisoners,1980,R.Greenwald,PN:Steve McGlothan,Turner,Documentary,
9137,Tm:Carny,1980,Kaylor,PN:Robbie Robertson,Lorimar,Comedy,aw
9138,Just Before Dawn,1980,Lieberman,PN:,Oakland,Horror,H
9139,Tm:Table for Five,1982,Lieberman,PN:Robert Schaffel,CBS,Drama,H
9140,All I want for Christmas,1991,Lieberman,PN:,SU:,Romantic,
9141,Fire in the Sky,1993,Lieberman,Lieberman,Paramount,ScFi,
9142,Tm:Shogun Assassin,1980,Houston,PN:,SU:,Actn,CG**
9143,Caged Fear,1990,Houston,"PN:Terry Kahn, Ed Elburt, Gregory Vaugn",SU:,Actn,
9144,Tm:Anna to the Infinite Power,1983,Wiemer,PN:,SU:,ScFi,aw
9145,Ordinary People,1980,Redford,PN:Ronald L. Schwary,Paramount,Drama,"AA, H**"
9146,The Milagro Beanfield War,1988,Redford,"PN:Redford, Moctesuma Esparza",SU:,Drama,aw
9147,A River Runs Through It,1992,Redford,PN:,SU:,Drama,
9148,Quiz Show,1994,Redford,PN:,Buena Vista,Drama,AAN dir
9149,The Horse Whisperer,1998,Redford,Redford,SU:,"Romantic, West",
9150,Tm:How to Beat the High Cost of Living,1980,Scheerer,PN:,Filmways,Comedy,H
9151,Terror Train,1980,Spottiswooode,PN:,SU:,Horror,CG**
9152,Tm:Under Fire,1983,Spottiswoode,PN:Jonathan Taplin,Orion,Drama,H*
9153,The Best of Times,1985,Spottiswoode,PN:,SU:,Comedy,aw
9154,Turner and Hooch,1990,Spottiswoode,PN:,SU:,Comedy,aw
9155,and the Band Played On,1993,Spottiswoode,PN:,HBO,Historic,aw
9156,Tomorrow Never Dies,1997,Spottiswoode,"Wilson, Barbara Broccolli",SU:,"Advt, Actn",aw
9157,The World is not Enough,1999,Spottiswoode,PU:,SU:,"Advt, Actn",
9158,The Adventures of Tin Tin: The Lure of Black Gold,1990,Bernasconi,PN:X Newman,Ellipse,Cart,aw
9159,Hotel Deutschland,1991,Stf.Paul,PN:,Arsenal,"Documentary,Musical",
9160,Tm:Mad Dog,1980,Grieco,PN:,SU:,CTxx,aw
9161,Full Moon in New York,1991,Kwan,PN:,SU:,Drama,aw
9162,Actress,1991,Kwan,PN:,SU:,aw,lc
9163,Red Rose White Rose,1995,Kwan,PN:,SU:,aw,lc
9164,Friday the 13th,1980,Cunningham,Cunningham,"Georgetown, Paramount,NewLine",Horror,
9165,Spring Break,1983,Cunningham,PN:,SU:,Ctxx,aw
9166,Brussels Transit,1980,Szlingerbaum,PN:,SU:,Ctxx,aw
9167,Falling in Love Again,1980,Stv.Paul,PN:Stv.Paul,International Picture Show of Atlanta,Romantic,H*
9168,Tm:The Idolmaker,1980,Hackford,"PN:Gene Kirkwood, Koch",U.A.,Drama,H
9169,An Officer and a Gentleman,1982,Hackford,Martin Elfand,"Paramount, Lorimar",Drama,H*
9170,Against All Odds,1983,Hackford,PN:Jerry Brick,Columbia,Actn,aw
9171,White Nights,1986,Hackford,PN:,SU:,Musical,
9172,Everybody's All-American,1988,HackfordD,PN:,SU:,Ctxx,aw
9173,Chuck Berry Hail! Hail! Rock 'n' Roll,1991,Hackford,PN:,SU:,"Documentary,Musical",
9174,When We Were Kings,1996,Hackford,PU:,SU:,Documentary,AA
9175,The Devils Advocate,1997,Hackford,PU:,SU:,Comedyx,aw
9176,Tm:My Bodyguard,1980,Bill,PN:,SU:,Ctxx,aw
9177,Tm:Six Weeks,1982,Bill,PN:,SU:,Ctxx,aw
9178,Untamed Heart,1993,Bill,PN:,SU:,Ctxx,aw
9179,A Home of Our Own,1993,Bill,PN:,SU:,Drama,aw
9180,Tm:McVicar,1980,Clegg,PN:,The Who Films,"Bio-Pic,Drama",H
9181,The Adventures of Picasso,1980,Danielson,PN:,Svenska ord,Comedy,
9182,Over the Edge,1980,T.Hunter,PN:Miller,SU:,Drama,RE***?
9183,Tex,1982,T.Hunter,PN:Ron Miller,Disney,Drama,CG*** RE**?
9184,River's Edge,1987,T.Hunter,PN:,SU:,"Documentary,Drama",
9185,Paint it Black,1989,T.Hunter,"PN:Ann Kilmer Hanes, Mark Forster",Vestron,Drama,
9186,Sylvester,1991,T.Hunter,PN:Martin Jurow,Columbia,"Romantic,West",
9187,Fade to Black,1980,Zimmerman,"PN:George G. Brainsyein, Ron Hamady",SU:,Suspense,RE**+
9188,Tm:Moscow Does Not Believe in Tears,1980,Menshov,PN:,SU:,Drama,aw
9189,De Gudene er Dode,1992,Lokkeberg,Lokkeberg,Norwegian Film Institute,"Drama, Documentary",aw
9190,Tm:Little Miss Marker,1980,W.Bernstein,J.Lang,Universal,Drama,H
9191,"Feuer, Eis, und Dynamit",1982,Bogner,PN:,SU:,CTxx,aw
9192,Tm:Stalk the Wild Child,1980,W.Hale,PN:,SU:,CTxx,aw
9193,Blacks in the Military,1985,Miles,PN:,SU:,Documentary,aw
9194,Black Champions,1987,Miles,PN:,SU:,Documentary,aw
9195,Liberators: Fighting on two Fronts in World War II,1992,Miles,"Miles, Rosenblum",Miles Educational,Documentary,aw
9196,Red Sorghum,1980,YM.Zhang,PN:,SU:,Drama,aw
9197,Ju Dou,1990,YM.Zhang,PN:,SU:,Drama,AAN
9198,Raise the Red Lantern,1992,YM.Zhang,PN:Chiu FuSheng,"ERA, Orion",Drama,AAN
9199,The Story of Qiu Ju,1993,YM.Zhang,PN:,SU:,Comedy,
9200,To Live,1994,YM.Zhang,PN:,SU:,Drama,
9201,Keep Cool,1997,YM.Zhang,PU:,SU:,Ctxx,
9202,The Family Game,1984,Morita,PN:,SU:,Ctxx,aw
9203,Sexworld,1980,Unknown28,PN:,SU:,"Porn, ScFi",aw
9204,Missing,1980,UnYear80,PU:,SU:,Ctxx,
9205,Mass Appeal,1994,UnYear80,PU:,SU:,Ctxx,
9206,Ms.~45,1981,Ferrara,PN:,"Navaron, Rochelle",Actn,CG**
9207,Driller Killer,1982,Ferrara,PN:,SU:,Horror,
9208,China Girl,1983,Ferrara,PN:,SU:,Horror,
9209,King of New York,1990,Ferrara,PN:,SU:,Actn,
9210,Bad Luitenant,1992,Ferrara,PN:,SU:,RomCom,
9211,Dangerous Game,1993,Ferrara,PN:,SU:,Ctxx,
9212,Body Snatchers,1994,Ferrara,PN:,Warners,"Horror, ScFi",
9213,The Blackout,1997,Ferrara,PU:,SU:,CTxx,aw
9214,Honeymoon in Vegas,1981,A.Bergman,PN:,SU:,Comedy,
9215,Tm:So Fine,1981,A.Bergman,PN:Mike Lobell,Warners,"Actn,Comedy",H
9216,The Freshman,1990,A.Bergman,PN:,SU:,Comedy,
9217,Striptease,1996,A.Bergman,PU:,SU:,"Comedy, Porn",
9218,Tm:Deadline,1981,Nicholson,PN:,SU:,CTxx,aw
9219,Meatballs 4,1981,B.Logan,PN:Donald P. Borchers,SU:,"Comedy,Porn",aw
9220,Dial M for Murder,1981,B.Segal,PN:Peter Katz,SU:,Suspense,[16]
9221,Night Gallery,1981,B.Segal,PN:,SU:,Suspense,
9222,Tm:Galaxy of Terror,1981,B.D.Clark,PN:,SU:,ScFi,CG*
9223,Serial,1981,Persky,PN:Sidney Beckman,Paramount,Comedy,H*
9224,Tm:Nighthawks,1981,Malmouth,PN:,SU:,CTxx,aw
9225,Caveman,1981,Gottlieb,"PN:Turman, David Foster",U.A.,Comedy,H
9226,Death of a Centerfold: the Dorothy Stratten Story,1981,Ch.Beaumont,PN:,SU:,"Drama, Bio-Pic",aw
9227,"P\'etrole, p\'etrole",1981,Gion,PN:,SU:,Drama,aw
9228,Candy,1981,Marquand,PU:,SU:,Ctxx,
9229,Tm:East of Elephant Rock,1981,D.Boyd,PN:Don Boyd,Boyd's Company,H,lc
9230,Clash of the Titans,1981,Davis,PN:Charles H. Schneer,MGM,Fant,H
9231,Tm:Heartaches,1981,Shebib,PN:,SU:,Romantic,CG**
9232,Tm:Paternity,1981,D.Steinberg,PN:Jerry Tokovsky,Paramount,Romantic,H
9233,Tm:Montenegro,1981,Makavejev,PN:Bo Johnson,Viking,porn,H*
9234,Defence of the Realm,1985,Makavejev,PN:,SU:,,
9235,The Coca-Cola Kid,1985,Makavejev,PN:David Roe,Cinecom,Comedy,
9236,Gorilla Bathes at Noon,1993,Makavejev,"PN:Alfred Hurmer, Bojana Marijan, Joachim vonVietinghoff",Alert Film,Drama,
9237,Tm:Green Ice,1981,E.Day,PN:Jack Wiener,ITC,Suspense,H
9238,Tm:Improper Channels,1981,Till,PN:,SL:Canada,Drama,H
9239,Murder at my Door,1996,Till,PU:,S:Fox,Drama,aw
9240,Basket Case,1981,Hennenlotter,PN:Edgar Ievens,Analysis,Horror,aw
9241,Basket Case II,1990,Hennenlotter,PN:,SU:,Horror,aw
9242,Frankenhooker,1990,Hennenlotter,PN:,SU:,Horror,aw
9243,Fear No Evil,1981,Laloggia,"PN:Laloggia, Charles M. Laloggia","Avco Embassy, Columbia, Tristar",Horror,-H
9244,Taxi zum Klo,1981,Ripploh,PN:,SU:,CTxx,aw
9245,Tm:Lords of Discipline,1981,Roddam,PN:,Paramount,Drama,H
9246,K2,1991,Roddam,PN:,Paramount,Documentary,
9247,Cleopatra,1999,Roddam,Halmi,S:ABC,Historic,
9248,La Che\`evre,1981,Veber,PN:,Gaumont,RomCom,aw
9249,Les Fugitifs,1986,Veber,PN:,SU:,RomCom,aw
9250,Tm:The Final Conflict,1981,G.Baker,PN:Harvey Bernard,Fox,Horror,H
9251,Alien Nation,1988,G.Baker,"PN:Gale Anne Hurd, Richard Kobritz",SU:,"ScFi,CA",RE**
9252,Tm:Mortuary,1981,Avedis,PN:,SU:,Horror,CG*
9253,For Your Eyes Only,1981,Glen,Cubby,U.A.,Advt,
9254,Octopussy,1983,Glen,Cubby,MGM-U.A.-Eon,Advt,
9255,A View to A Kill,1985,Glen,Cubby,MGM/U.A.,Advt,
9256,The Living Daylights,1985,Glen,PN:,Cubby,Advt,RE**
9257,License Revoked,1988,Glen,Cubby,U.A.,Advt,
9258,License To Kill,1989,Glen,Cubby,SU:,Advt,
9259,Tm:Visiting Hours,1981,Lord,PN:,SU:,"Suspense,Actn",CG**
9260,Tm:The Double McGuffin,1981,Camp,PN:Joe Camp,Mulberry Square,,H
9261,Tm:Hawmps,1982,Camp,PN:,Mulberry Square,Advt,H
9262,Tm:Raggedy Man,1981,Fisk,PN:,SU:,Ctxx,aw
9263,Diva,1981,Beineix,"PN:Daniel Odier, Irene Silberman","Galaxie, SD:U.A.","Romantic,Suspense",
9264,The Moon in the Gutter,1985,Beineix,PN:,SU:,Drama,CG*
9265,L'Integrale,1986,Beineix,PN:,SU:,Porn,AAN
9266,All Night Long,1981,Tramont,"PN:Leonard Goldberg, Jerry Weintraub",Universal,aw,R(R)
9267,Tm:Modern Problems,1981,K.Shapiro,PN:,SU:,Comedy,CG*
9268,Tm:Butterfly,1981,Cimber,PN:Matt Cimber,ParPar,,H
9269,Tm:This is Elvis,1981,Leo,"PN:Malcolm Leo, Andrew Solt",SU:,"Documentary,Musical",RE*** CG***
9270,Tm:Lovers and Liars,1981,Monicello,PN:,SU:,Comedy,CG*
9271,Tm:Power Play,1981,Burke,PN:Christopher Dalton,canada United Kingdom,Actn,H
9272,Pirates of Silicon Valley,1999,Burke,PU:,S:TNT,Bio-Pic,
9273,Student Bodies,1981,M.Rose,Alan~Smithee,SU:,Horror,CG*
9274,The Hand,1986,Ol.Stone,PN:,SU:,Horror,
9275,Platoon,1986,Ol.Stone,PN:,Orion,,"AA, AA dir"
9276,Wall Street,1988,Ol.Stone,PN:,SU:,CTxx,
9277,Born on the Fourth of July,1989,Ol.Stone,PN:,SU:,Actn,"AAN, AA dir"
9278,The Doors,1991,Ol.Stone,PN:,SU:,Bio-Pic,
9279,JFK,1991,Ol.Stone,"PN:A. Kittman Ho, Ol.Stone","Regency, Warners",Bio-Pic,AAN
9280,Heaven and Earth,1993,Ol.Stone,PN:,SU:,Romantic,
9281,Natural Born Killers,1994,Ol.Stone,PN:,SU:,Actn,
9282,Nixon,1995,Ol.Stone,PU:,SU:,Bio-Pic,
9283,U-Turn,1997,Ol.Stone,PU:,SU:,Drama,aw
9284,Tm:Bustin' Loose,1981,O.Scott,PN:Richard Pryor,Universal,Comedy,H
9285,Celeste,1981,Adlon,Eleonore Adlon,"Pelemele, BRF",Bio-Pic,H*
9286,Sugarbaby,1984,Adlon,PN:,SU:,Ctxx,aw
9287,Five Last Days,1985,Adlon,PN:,SU:,Ctxx,aw
9288,The White Rose,1986,Adlon,PN:,SU:,Ctxx,aw
9289,Bagdad Cafe,1989,Adlon,PN:,SU:,Romantic,aw
9290,Rosalie Goes Shopping,1990,Adlon,PN:,SU:,Comedy,aw
9291,Salmonberries,1994,Adlon,PN:,SU:,Drama,aw
9292,Tm:Nobody's Perfekt,1981,Bonerz,PN:,SU:,Ctxx,aw
9293,Lonely Hearts,1981,P.Cox,PN:,SU:,Ctxx,aw
9294,Man of Flowers,1983,P.Cox,PN:,SU:,Ctxx,aw
9295,Cactus,1986,P.Cox,PN:,SU:,Ctxx,aw
9296,Vincent - The Life and Times of Vincent Van Gogh,1987,P.Cox,PN:,SU:,Bio-Pic,aw
9297,A Woman's Tale,1989,P.Cox,PN:,SU:,Ctxx,aw
9298,Golden Braid,1990,P.Cox,PN:,SU:,Drama,aw
9299,The Exile,1993,P.Cox,P.Cox,Illumination,"Advt, Romantic",aw
9300,Touch Me,1994,P.Cox,PN:,WDR,Romantic,aw
9301,Tm:Don't Cry It's Only Thunder,1981,Werner,PN:,SU:,Ctxx,aw
9302,Spetters,1981,P.Verhoeven,PU:,SU:,Actn,
9303,The 4th Man,1983,P.Verhoeven,PN:,SL:Holland,Ctxx,aw
9304,Robocop,1988,P.Verhoeven,PN:,SU:,Actn,aw
9305,Total Recall,1990,P.Verhoeven,PN:,SU:,Actn,aw
9306,Basic Instinct,1992,P.Verhoeven,PN:Shep Morgan,Tristar,"Romantic,Actn",aw
9307,,T:Showgirls,1996,PU:,SU:,Porn,aw
9308,Tm:A Dangerous Summer,1981,Masters,PN:McElroy,SL:Australia,Drama,(H)
9309,The Stud,1982,Masters,PU:,S:Trans-American,Porn,aw
9310,The Bitch,1984,Masters,PU:,SU:,Porn,aw
9311,Tm:Road Games,1981,R.Franklin,PN:,Quest,Suspense,H
9312,Psycho II,1983,R.Franklin,H.A.Green,Universal,Horror,H*
9313,Tm:Cloak and Dagger,1984,R.Franklin,PN:,SU:,Advt,CG**
9314,FX2,1989,R.Franklin,PN:,SU:,Advt,
9315,FX2 - The Deadly Art of Illusion,1991,R.Franklin,PN:,SU:,Advt,
9316,Tm:Halloween II,1981,Rick~Rosenthal,"PN:Debra Hill, Carpenter",deLaurentiis,Horror,H
9317,Tm:Bad Boys,1983,Rick~Rosenthal,PN:,SU:,CTxx,aw
9318,Tm:Ticket to Heaven,1981,R.L.Thomas,PN:Ronald Cohen,SL:Canada,Documentary,H*
9319,Tm:Terry Fox Story,1983,R.L.Thomas,PN:,CTV,Bio-Picx,aw
9320,Eye of the Needle,1981,Marquand,PN:Stephen Friedman,U.A. kings Road,Suspense,H
9321,Return of The Jedi,1985,Marquand,PN:Howard Kazanjian,"Fox,Lucasfilm",ScFi,H*
9322,Jagged Edge,1985,Marquand,Ransohoff,Columbia,Myst,H**
9323,Imagine the Sound,1981,Ron.Mann,PN:,SU:,Documentary,|
9324,Poetry in Motion,1982,Ron.Mann,PN:,SU:,Documentary,|
9325,Comic Book Confidential,1989,Ron.Mann,PN:,SU:,Documentary,|
9326,Used Cars,1980,Zemeckis,PN:Bob Gale,SU:,Comedy,F26
9327,Romancing the Stone,1984,Zemeckis,M.Douglas,Fox,Advt,
9328,Back to the Future,1985,Zemeckis,Spielberg,Universal,ScFi,"F22,H***T(1980,1950)"
9329,Who Framed Roger Rabbit,1988,Zemeckis,"Spielberg, J.Silver",Disney,Cart,
9330,Back to the Future Part II,1989,Zemeckis,Spielberg,Universal,ScFi,
9331,Back to the Future Part III,1990,Zemeckis,PN:Bob Gale,Universal,"ScFi,West; T(1955,1885)",
9332,Death Becomes Her,1992,Zemeckis,"Zemeckis, Steve Starkey",Universal,"Comedy,Horror",
9333,Forrest Gump,1994,Zemeckis,"PN:Steve Tisch, Wendy Finerman","NewLine, Paramount",Comedy,"AA, AA dir"
9334,Contact,1997,Zemeckis,PU:,SU:,ScFi,aw
9335,Cast Away,19xx,Zemeckis,PU:,SU:,Ctxx,
9336,Arthur,1981,S.Gordon,Greenhut,"Warners, Orion",Comedy,"F73, H*"
9337,Leise Schatten,1991,Horman,PN:,Hager-Moss,Drama,aw
9338,Tm:Devil and Max Devlin,1981,Stern,PN:Jerome Courtland,Disney,Comedy,(H)
9339,Hostage Flight,1989,Stern,PN:James Hay,"Lorimar, TNT",Suspense,
9340,Friday the 13th Part II,1981,Miner,"PN:Miner, Dennis Murphy","Paramount,NewLine",Horror,
9341,Friday the 13th Part III,1982,Miner,Mancuso,"Paramount, NewLine",Horror,
9342,Wild Hearts Can't Be Broken,1991,Miner,PN:Matt Williams,Buena Vista,Bio-Pic,
9343,Forever Young,1992,Miner,PN:,SU:,Fant,aw
9344,Tm:Paradise,1981,Gillard,PN:,SU:,Porn,CG*
9345,The Reanimator,1985,Gordon,PN:,SU:,Hor,
9346,Fortress,1993,St.Gordon,PN:,SU:,Horror,
9347,Lost in Space,1998,St.Gordon,PU:,SU:,ScFi,
9348,Attack Force Z,1981,Burstall,PN:,SU:,Ctxx,aw
9349,Tm:Hell Night,1981,DeSimone,PN:,SU:,Horror,CG*
9350,Tm:The Concrete Jungle,1983,DeSimone,PN:,SU:,Drama,aw
9351,Tm:Bushido Blade,1981,Katani,PN:Arthur Rankin~jr.,Trident,Advt,H
9352,Tm:Search and Destroy,1981,William Fruet,PN:,SU:,Axtn,CG*
9353,Das Boot,1981,Petersen,PN:,SU:,Actn,
9354,The Plastic Nightmare,1990,Petersen,PN:,SU:,Horror,
9355,Shattered,1991,Petersen,PN:,SU:,Ctxx,
9356,In the Line of Fire,1993,Petersen,PN:Jeff Apple,Columbia,"RomCom,Suspense",
9357,Clear and Present Danger,1994,Petersen,PU:,S:Paramount,Suspense,
9358,Outbreak,1995,Petersen,PN:,SU:,Suspense,
9359,Air Force One,1997,Petersen,PU:,SU:,Suspense,aw
9360,Oppenheimer,1981,Goodchild,PN:,SU:,Bio-Pic,aw
9361,Vito Rossi,1981,UnYear81,PU:,SU:,Ctxx,
9362,Android,1982,Lipstad,PN:,SU:,Ctxx,
9363,Fast Times at Ridgemont High,1982,Heckerling,PN:C.o. Erickson,Universal,Comedy,H
9364,National Lampoon's European Vacation,1985,Heckerling,PN:Matty Sims,Warners,Comedy,H
9365,At,1982,Ozgenturk,PN:,Kentel,Drama,aw
9366,Tm:The Sword and the Sorcerer,1982,Pyun,PN:Brandon Chase,Group One,Fant,H
9367,Raven Hawk,1996,Pyun,PN:Ron Samuels,S:MDP,Drama,
9368,Tm:Endangered Species,1982,A.Roberts,PN:Carolyn Pfeiffer,MGM,Suspense,H
9369,Tm:Gregory's Girl,1982,B.Forsyth,"PN:Davina Belling, Clive Parsons",Lake,Romantic,H**
9370,Local Hero,1983,B.Forsyth,PN:David Puttnam,"Enigma, Warners",Comedy,"F28, H**"
9371,Being Human,1994,B.Forsyth,PN:,SU:,Drama,
9372,Diner,1982,B.Levinson,PN:Jerry Weintraub,MGM,Drama,"F41, H**"
9373,Tm:The Natural,1984,B.Levinson,PN:,SU:,CTxx,aw
9374,Tin Men,1987,B.Levinson,PN:Mark Johnson,SU:,Comedy,
9375,Tin Men,1987,B.Levinson,PN:Mark Johnson,SU:,Comedy,
9376,Rain Man,1988,B.Levinson,PN:,U.A.,Drama,"AA, AA dir"
9377,"Good Morning, Vietnam",1989,B.Levinson,PN:Mark Johnson,SU:,Comedy,
9378,Avalon,1990,B.Levinson,PN:,TriStar,"Romantic,Comedy",
9379,Bugsy,1991,B.Levinson,"PN:Mark Johnson, B.Levinson, Beatty",TriStar,"Romantic,Comedy",AAN
9380,Toys,1992,B.Levinson,PN:,SU:,Comedy,
9381,Jimmy Hollywood,1994,B.Levinson,PN:,SU:,Comedy,
9382,Disclosure,1994,B.Levinson,PN:,SU:,Comedy,
9383,Wag the Dog,1998,B.Levinson,PU:,SU:,Comedy,aw
9384,Sphere,1998,B.Levinson,PU:,Warners,ScFi,aw
9385,A Little Sex,1982,Paltrow,Paltrow,"Universal, MTM",Comedy,H
9386,Duet,1999,Paltrow,PU:,SU:,Comedy,
9387,The Adventurers of the Sierra Leone,1982,Schulz,PN:,SU:,West,aw
9388,The Escape Artist,1982,Deschanel,"PN:Doug Claybourne, Buck Houghton",Zoetrope,Advt,H**
9389,Tm:Losin' It,1982,Hanson,PN:,SU:,Comedy,-H
9390,The Bedroom Window,1988,Hanson,PN:,SU:,Suspense,
